Sample ID,WGSPutGenoLabel,Geno.std,Genotype.Replicate,Technical Replicate,Multi-Locus Genotype ID,Raw Reads,Aligned,Alignment Rate,Missing Loci,Symbiodinium,Breviolum,Cladocopium,Durusdinium
s077,S378,S378,S378,no,77,25881213,10370725,0.401,2021,0.064095205,0.009282855,0.055265708,0.871356233
s078,GB2,GB2,GB2,no,135,26171115,19771017,0.755,737,0.056104667,0.009291208,0.050518435,0.88408569
s079,GB31,GB31,GB31,no,79,27696744,17733655,0.64,865,0.067956754,0.01010984,0.077712922,0.844220484
s080,F-1-A,F1A,F-1-A,no,80,25059580,19749602,0.788,790,0.048868315,0.006614234,0.041297279,0.903220171
s081,OF23,OF23,OF23,no,154,25868102,20869479,0.807,592,0.041220518,0.006216001,0.037491227,0.915072254
s082,GB12,GB12,GB12,no,154,27595990,20785444,0.753,580,0.111824401,0.017624668,0.134530932,0.73602
s083,AE10,AE10,AE10,no,83,19691251,9116994,0.463,35110,0.064015957,0.02278655,0.039649199,0.873548293
s084,OF56,OF56,OF657,no,84,26256106,10148188,0.387,2398,0.056667217,0.010320735,0.110583705,0.822428344
s085,15-349,15349,15-349,no,85,26024690,10563977,0.406,2241,0.08405783,0.014770679,0.124263032,0.776908459
s086,OF635,OF635,OF635,no,86,28915080,18470240,0.639,839,0.076457289,0.013796562,0.150850226,0.758895923
s087,GB13,GB13,GB13,no,137,27072411,21531889,0.795,729,0.057828245,0.008835933,0.063849835,0.869485987
s088,F12,F12,F12,no,12,26739426,21190829,0.792,756,0.057071694,0.008040638,0.05460068,0.880286988
s089,OF554,OF554,OF654,no,89,19159488,10886349,0.568,2393,0.074284534,0.010402089,0.194061182,0.721252195
s090,GB21,GB21,GB21,no,90,27282941,12685388,0.465,1729,0.054191564,0.007955935,0.049689385,0.888163116
s091,GB14,GB14,GB14_wgs_1,yes,91,26439780,7099480,0.269,4041,0.125443063,0.014452598,0.079171035,0.780933303
s092,OF457,OF457,OF457,no,92,19458483,10014233,0.515,2587,0.057044609,0.010083272,0.156799164,0.776072956
s093,GB26,GB26,GB26,no,93,20796685,10838362,0.521,2374,0.078215819,0.013838861,0.106128534,0.801816787
s094,OF200,OF200,OF200,no,94,28902594,19196980,0.664,789,0.094473692,0.01275684,0.11326839,0.779501078
s095,OF509,OF509,OF509,no,95,25823278,11449484,0.443,2299,0.07942582,0.01733319,0.20775035,0.69549064
s096,OF453,OF453,OF453,no,96,26631561,20819534,0.782,756,0.117935654,0.032453978,0.093468038,0.756142331
s097,15-155,15155,15-155,no,97,25318967,11690937,0.462,1942,0.081343917,0.011301938,0.123063464,0.784290681
s098,OF677,OF677,OF677,no,98,20693463,15679687,0.758,1186,0.098776154,0.015757267,0.105798794,0.779667785
s099,OF373,OF373,OF373,no,99,25819395,17209955,0.667,20121,0.19787519,0.032270443,0.247476348,0.522378019
s100,15-111,15111,15-111,no,100,26366235,20565702,0.78,792,0.060086443,0.009990292,0.06544836,0.864474904
s101,OF602,OF602,OF689,no,101,28917150,23422132,0.81,572,0.068425846,0.017315435,0.079638063,0.834620656
s102,OF679,OF679,OF679,no,102,24529500,19812354,0.808,692,0.035367318,0.005706164,0.035180668,0.92374585
s103,OF696,OF696,OF696,no,103,25632545,20646747,0.805,748,0.045782882,0.007046622,0.041924609,0.905245887
s104,OF628,OF628,OF628,no,104,25204447,18814825,0.746,733,0.066995917,0.011036481,0.08935862,0.832608982
s105,GB28,GB28,GB28,no,105,19727788,6161000,0.312,4546,0.173647278,0.023015986,0.165415283,0.637921454
s106,GB25,GB25,GB25,no,106,28068398,17524695,0.624,819,0.003467499,0.001148047,0.003324163,0.992060291
s107,GB23,GB23,GB23,no,107,26637253,17007330,0.638,1001,0.004237414,0.001219287,0.003717416,0.990825882
s108,GB15,GB15,GB15,no,108,24339542,20105567,0.826,824,0.034726205,0.004581245,0.026859566,0.933832984
s109,M27,M27,M27,no,109,24392690,18371865,0.753,715,0.106953515,0.015456406,0.119574378,0.758015701
