"","Sample.ID","PutGeno","Genotype.Replicate","Technical.Replicate","Multi.Locus.Genotype.ID","MLG.Notes","Raw.Reads","Aligned","Alignment.Rate","Missing.Loci","Remove","Symbiodinium","Breviolum","Cladocopium","Durusdinium","Putative.Genotype.ID","Genotype.name.x","Other.names.x","Seq.WGS","Known.Mote.geno","Sample.Source","RestorationSample.InExp","Restoration.name","Genotype.name.y","Other.names.y","OFAV.Old.Name","Mote.Known.Clones","Type","Source","Hybrid","Collection.Latitude","Collection.Longitude","Year.of.initial.collection","Partner.Source","Mote.Genotyped","Mote.2brad","Mote.Putative.2bRAD.Clones","Mote.Microsatellites","Mote.Putative.MSAT.Clones","Mote.Disease.Tested","Mote.Temp.Tested","Mote.OA.Tested"
"166","s157","GB18","GB18","no","WGS-130","",46974509,28444683,0.606,629,"x",0.004616841,0.001101703,0.003776901,0.990504555,"GB18","GB18","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","s158","S59","S59","no","WGS-158","",68177364,39183609,0.575,513,"",0.006453805,0.00166374,0.007836278,0.984046178,"S59","S59","OF622, 15-59","YES","Y","Experiment",NA,"OF622","S59","OF622, 15-59","S59,15-59","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","Yes","Kenkel, 2020","","Imhof, 2020","",NA,NA,NA
"168","s159","S630","S630","no","WGS-159","",44228032,29508821,0.667,503,"",0.004896774,0.001172471,0.006087535,0.98784322,"S630","S630","OF630, 15-630","YES","Y","Experiment",NA,"OF630","S630","OF630, 15-630","S630","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","Yes","","","Imhof, 2021","",NA,NA,NA
"169","s160","OF76","OF76_wgs_2","yes","WGS-57","originally 160",51002107,32359965,0.634,581,"",0.004363571,0.001081669,0.005570187,0.988984573,"OF76","OF76","F76","YES","Y","Experiment",NA,"OF76","OF76","F76","F76","","COO","KWN","N",24.55107,-81.80805,"2010-2017","Mote","","","","","",NA,NA,NA
"170","s161","M11","M11","no","WGS-154","",48017234,30716268,0.64,477,"",0.00680055,0.001569926,0.01195689,0.979672634,"M11","M11","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","s162","M7","M7","no","WGS-154","",37172221,22423860,0.603,578,"x",0.006597538,0.001561551,0.024356581,0.96748433,"M7","M7","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","s163","M23","M23","no","WGS-72","",40646690,22332555,0.549,743,"",0.004789371,0.001269878,0.009800942,0.984139809,"M23","M23","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","s164","M24","M24","no","WGS-164","",24858200,16963107,0.682,934,"",0.108027404,0.015089206,0.14186327,0.73502012,"M24","M24","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","s165","M5","M5","no","WGS-66","",43473566,24714060,0.568,650,"",0.00544799,0.001247526,0.014902524,0.97840196,"M5","M5","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","s166","M12","M12_wgs_1","yes","WGS-154","",30306683,20536327,0.678,559,"x",0.010747979,0.00223002,0.013345825,0.973676176,"M12","M12","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","s167","GB22","GB22","no","WGS-167","",25544339,17173069,0.672,945,"",0.005078441,0.001032583,0.004095999,0.989792977,"GB22","GB22","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","s168","M34","M34","no","WGS-168","",26624121,19107101,0.718,747,"",0.005028094,0.001068636,0.003984063,0.989919207,"M34","M34","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","s169","S227","S227","no","WGS-169","",25143867,17675439,0.703,862,"",0.067352707,0.014426729,0.07785973,0.840360834,"S227","S227","OF227,15-227","YES","Y","Experiment",NA,"OF227","S227","OF227,15-227","S227,15-227","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","Yes","Kenkel, 2020","","Imhof, 2020","S567",NA,NA,NA
"179","s170","S483","S483","no","WGS-170","",19766000,14158792,0.716,1576,"",0.004584534,0.001113896,0.003422334,0.990879236,"S483","S483","OF483","YES","Y","Experiment",NA,"OF483","OF483","OF483","S483","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","Yes","Kenkel, 2020","","Imhof, 2020","",NA,2020,2020
"180","s171","OF755","OF755","no","WGS-171","",24959901,17971133,0.72,749,"",0.134391121,0.023580585,0.15731282,0.684715474,"OF755","OF755","15-292,S292","YES","Y","Experiment",NA,"OF755","OF755","15-292,S292","15-292","","SR","","N",NA,NA,"2015","","","","","","",NA,NA,NA
"181","s172","M33","M33_wgs_1","yes","WGS-154","",27720841,19812171,0.715,641,"x",0.00735901,0.001658669,0.008776811,0.98220551,"M33","M33","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","s173","M10","M10","no","WGS-173","",27026091,9984275,0.369,13880,"",0.088924609,0.022450758,0.066457093,0.82216754,"M10","M10","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","s174","M19","M19","no","WGS-174","",25776799,18589807,0.721,921,"",0.004435064,0.000928423,0.002822513,0.991814,"M19","M19","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","s175","M30","M30","no","WGS-175","",29501898,20318175,0.689,730,"",0.00701856,0.001370887,0.007077319,0.984533235,"M30","M30","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","s176","GB14","GB14_wgs_2","yes","WGS-91","originally 176",25704248,7324368,0.285,3900,"",0.102412534,0.015997453,0.071306709,0.810283304,"GB14","GB14","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","s177","GB1","GB1_wgs_2","yes","WGS-154","",26660874,20733729,0.778,576,"x",0.089267954,0.013206464,0.096406854,0.801118728,"GB1","GB1","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","s178","M12","M12_wgs_2","yes","WGS-154","",27689412,19591634,0.708,652,"x",0.007389523,0.001509914,0.010577514,0.98052305,"M12","M12","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","s179","OF393","OF393_wgs_2","yes","WGS-142","originally 179",25686301,14642655,0.57,1299,"x",0.019930514,0.004241433,0.027661272,0.948166781,"OF393","OF393","S393, 15-393","YES","Y","Experiment",NA,"OF393","OF393","OF393","S393","OF670_4.2020; OF689","SR","H","Y",25.139367,-80.294017,"2015 batch","Margaret Miller","Yes","","","Imhof, 2020","R; S546_4.2020; 15-660",NA,NA,NA
"189","s180","M33","M33_wgs_2","yes","WGS-154","",26435927,18949912,0.717,758,"x",0.006947028,0.001557372,0.008589402,0.982906199,"M33","M33","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OF32mystery","OF32mystery","32","YES","N","Ex situ","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"XOF689","X-OF-689","OF689","YES","Y","In situ","N","OF689","X-OF-689","OF689","S660","OF393_4.2020","SR","H","Y",25.139367,-80.294017,"2015","Margaret Miller","","","","Imhof, 2020","S3939_4.2020",NA,NA,NA
