"","Sample.ID","PutGeno","Genotype.Replicate","Technical.Replicate","Multi.Locus.Genotype.ID","MLG.Notes","Raw.Reads","Aligned","Alignment.Rate","Missing.Loci","Remove","Symbiodinium","Breviolum","Cladocopium","Durusdinium","Putative.Genotype.ID","Genotype.name.x","Other.names.x","Seq.WGS","Known.Mote.geno","Sample.Source","RestorationSample.InExp","Restoration.name","Genotype.name.y","Other.names.y","OFAV.Old.Name","Mote.Known.Clones","Type","Source","Hybrid","Collection.Latitude","Collection.Longitude","Year.of.initial.collection","Partner.Source","Mote.Genotyped","Mote.2brad","Mote.Putative.2bRAD.Clones","Mote.Microsatellites","Mote.Putative.MSAT.Clones","Mote.Disease.Tested","Mote.Temp.Tested","Mote.OA.Tested"
"30","s030","OF592","OF687","no","WGS-30","",21133994,11768120,0.557,2288,"",0.091203995,0.024503021,0.155953266,0.728339718,"OF592","OF592","15-592,S592","YES","Y","Experiment",NA,"OF592","OF592","15-592,S592","15-592","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"31","s031","15-431","15-431","no","WGS-31","",19761108,11309894,0.572,2649,"",0.118484624,0.037697386,0.172876834,0.670941157,"15431","15-431","S431, OF431","YES","Y","Experiment",NA,"OF431","OF431","15-431","15-431","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"32","s032","OF566","OF662","no","WGS-32","",27111915,20273728,0.748,808,"",0.10894416,0.021354911,0.143391747,0.726309182,"OF566","OF566","15-566,S566","YES","Y","Experiment",NA,"OF566","OF566","15-566,S566","15-566","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"33","s033","OF569","OF677","no","WGS-33","",25479325,17666515,0.693,992,"",0.101461521,0.022197706,0.123980238,0.752360536,"OF569","OF569","15-11,S11","YES","Y","Experiment",NA,"OF569","OF569","15-11,S11","15-11","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"34","s035","OF745","OF745","no","WGS-35","",19603998,12427078,0.634,1918,"",0.08927161,0.016578909,0.123434986,0.770714495,"OF745","OF745","15-199,S199","YES","Y","Experiment",NA,"OF745","OF745","15-199,S199","15-199","","SR","","N",NA,NA,"2015","","Yes","","","Imhof, 2020","",NA,NA,NA
"35","s036","GB29","GB29","no","WGS-36","",25675607,19162797,0.746,735,"",0.061604725,0.009149487,0.067631497,0.861614291,"GB29","GB29","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","s037","OF680","OF680","no","WGS-37","",24785352,15597711,0.629,971,"",0.066793746,0.009115556,0.056834574,0.867256124,"OF680","OF680","15-120, S120","YES","Y","Experiment",NA,"OF680","OF680","15-120, S120","15-120","","SR","H","Y",25.139367,-80.294017,"2015","Margaret Miller","Yes","","","Imhof, 2020","S218",NA,NA,NA
"37","s038","OF705","OF705","no","WGS-38","",24842654,17849205,0.718,739,"",0.090178122,0.015045319,0.119275403,0.775501155,"OF705","OF705","15-315,S315","YES","Y","Experiment",NA,"OF705","OF705","15-315,S315","15-315","","SR","H","Y",25.139367,-80.294017,"2015","Margaret Miller","","","","","",NA,NA,NA
"38","s039","GB6","GB6","no","WGS-39","",24702523,17582095,0.712,1039,"",0.060215701,0.011062334,0.054170453,0.874551513,"GB6","GB6","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","s040","OF125","OF125","no","WGS-154","",26281851,17142937,0.652,641,"x",0.051718684,0.008500829,0.066924501,0.872855985,"OF125","OF125","F125","YES","Y","Experiment",NA,"OF125","OF125","F125","F125","","COO","KWN","N",24.55107,-81.80805,"2010-2017","Mote","Yes","Kenkel, 2018","","Imhof, 2018","",2018,2018,2018
"40","s041","AE5","AE5","no","WGS-130","",28713380,21957800,0.765,600,"",0.053808809,0.008051243,0.056326285,0.881813664,"AE5","AE5","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","s042","GB8","GB8","no","WGS-42","",27212395,13758500,0.506,1289,"",0.115544468,0.014471293,0.100355382,0.769628856,"GB8","GB8","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","s043","GB24","GB24","no","WGS-43","",25857916,6722310,0.26,3865,"",0.090373856,0.011688424,0.048862601,0.849075118,"GB24","GB24","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","s044","GB7","GB7","no","WGS-154","",28457391,21677067,0.762,497,"x",0.090286764,0.011931182,0.072904584,0.82487747,"GB7","GB7","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","s045","OF464","OF464","no","WGS-45","",27815296,2630529,0.095,5052,"y",0.104575114,0.015595939,0.318321798,0.56150715,"OF464","OF464","S464,15-464","YES","Y","Experiment",NA,"OF464","OF464","S464,15-464","S464","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"45","s046","OF700","OF700","no","WGS-46","",20448667,16314006,0.798,1198,"",0.08234219,0.012897483,0.088033371,0.816726956,"OF700","OF700","15-93, S93","YES","Y","Experiment",NA,"OF700","OF700","OF700","15-93","","SR","H","Y",25.139367,-80.294017,"2015","Margaret Miller","Yes","","","Imhof, 2020","R",NA,NA,NA
"46","s046","OF700","OF700","no","WGS-46","",20448667,16314006,0.798,1198,"",0.08234219,0.012897483,0.088033371,0.816726956,"OF700","OF700","OF700","YES","Y","Ex situ","Y","OF700","OF700","OF700","15-93","","SR","H","Y",25.139367,-80.294017,"2015","Margaret Miller","Yes","","","Imhof, 2020","R",NA,NA,NA
"47","s047","UK 36","UK 36","no","WGS-47","",22329350,14715424,0.659,1333,"",0.146850691,0.577795152,0.198824558,0.076529598,"UK36","UK 36","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","s048","OF263","OF263","no","WGS-48","",19510706,15084478,0.773,1337,"",0.055882938,0.009541885,0.06010745,0.874467727,"OF263","OF263","15-263, S263","YES","Y","Experiment",NA,"OF263","OF263","15-263, S263","15-263","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"49","s049","OF416","OF416","no","WGS-49","",26113998,17324087,0.663,1093,"",0.111532899,0.026838501,0.158994726,0.702633874,"OF416","OF416","15-416,S416","YES","Y","Experiment",NA,"OF416","OF416","15-416,S416","15-416,F416","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","Yes","","","Imhof, 2020","",NA,NA,NA
"50","s050","OF126","OF126","no","WGS-50","",24525263,5101247,0.208,5579,"",0.14752555,0.057789968,0.241090261,0.553594221,"OF126","OF126","F126","YES","Y","Experiment",NA,"OF126","OF126","F126","F126","","COO","KWN","N",24.55107,-81.80805,"2010-2017","Mote","Yes","Kenkel, 2018","","Imhof, 2018","",2018,2018,2018
"51","s051","OF649","OF649","no","WGS-51","",26254692,10245328,0.39,2648,"",0.16657595,0.025368376,0.135404922,0.672650752,"OF649","OF649","M459","YES","Y","Experiment",NA,"OF649","OF649","M459","M459","","SR","","N",NA,NA,"","","","","","","",NA,NA,NA
"52","s052","OF687","OF687","no","WGS-52","",24342148,9346901,0.384,3073,"",0.108304026,0.02359877,0.341358161,0.526739043,"OF687","OF687","15-102, S102","YES","Y","Experiment",NA,"OF687","OF687","OF687","15-102","","SR","H","Y",25.139367,-80.294017,"2015","Margaret Miller","Yes","","","Imhof, 2020","U",NA,NA,NA
"53","s052","OF687","OF687","no","WGS-52","",24342148,9346901,0.384,3073,"",0.108304026,0.02359877,0.341358161,0.526739043,"OF687","OF687","OF687","YES","Y","Ex situ","Y","OF687","OF687","OF687","15-102","","SR","H","Y",25.139367,-80.294017,"2015","Margaret Miller","Yes","","","Imhof, 2020","U",NA,NA,NA
"54","s053","OF2","OF2","no","WGS-53","",24793932,14023303,0.566,7901,"",0.050468529,0.016646463,0.045530448,0.88735456,"1OF2","OF2","OF2","YES","Y","Ex situ","Y","OF2","F-1-A","OF 2","F1A","","COO","KWN","N",24.55107,-81.80805,"2010-2017","Mote","Yes","Kenkel, 2018","","Imhof, 2018","",2018,2018,2018
"55","s054","1-OF-4","1-OF-4","no","WGS-54","",19635726,15215833,0.775,1365,"",0.143181905,0.029127542,0.184071469,0.643619084,"1OF4","1-OF-4","OF4","YES","Y","Experiment",NA,"OF4","1-OF-4","F4A,F4B","F4A,F4B","","COO","KWN","N",24.55107,-81.80805,"2010-2017","Mote","","","","","",NA,NA,NA
