Restoration.name,Putative.Genotype.ID,Genotype.name,Other.names,OFAV.Old.Name,Mote.Known.Clones,Type,Source,Hybrid,Collection.Latitude,Collection.Longitude,Year.of.initial.collection,Partner.Source,Mote.Genotyped,Mote.2brad,Mote.Putative.2bRAD.Clones,Mote.Microsatellites,Mote.Putative.MSAT.Clones,Mote.Disease.Tested,Mote.Temp.Tested,Mote.OA.Tested
OF654,OF654,OF654,OF654,BP2,,UNK,UNK,N,,NA,,,,,,,,NA,NA,NA
OF655,OF655,OF655,BP3,BP3,,UNK,UNK,N,,NA,,,,,,,,NA,NA,NA
OF656,OF656,OF656,OF656,BP4,,UNK,UNK,N,,NA,,,,,,,,NA,NA,NA
OF657,OF657,OF657,OF657,BP5,,UNK,UNK,N,,NA,,,,,,,,NA,NA,NA
OF66,OF66,OF66,OF66,NONE,,,,N,,NA,,,,,,,,NA,NA,NA
OF662,OF662,OF662,S59,S648,,SR,H,N,25.139367,-80.294017,2015,Margaret Miller,,,,,,NA,NA,NA
OF668,XOF668,X-OF-668,OF668,15-302,,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",U,NA,NA,NA
OF669,OF669,OF669,OF669,S432,,SR,H,N,25.139367,-80.294017,2015,Margaret Miller,,,,,,NA,NA,NA
OF670,XOF670,X-OF-670,OF670,S546,OF393_10.2020,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,,,,"Imhof, 2020",R; S393_10.2020,NA,NA,NA
OF671,OF671,OF671,OF671,15-287,OF559,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",15-89,NA,NA,NA
OF672,XOF672,X-OF-672,OF672,15-386,OF697,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",R; 15-382,NA,NA,NA
OF675,XOF675,X-OF-675,OF675,15-379,,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",R; 15-380 A,NA,NA,NA
OF676,XOF676,X-OF-676,OF676,15-15,,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",15-39 B,NA,NA,NA
OF677,OF677,OF677,"15-26,S26",15-26,,SR,H,N,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",R,NA,NA,NA
